index,lag_samples,lag_ms
44,-14,-70.00
45,-172,-860.00
46,-168,-840.00
47,-172,-860.00
48,-174,-870.00
106,-170,-850.00
108,-177,-885.00
109,-177,-885.00
110,-11,-55.00
111,-11,-55.00
258,169,845.00
279,-12,-60.00
303,-16,-80.00
305,-137,-685.00
306,-137,-685.00
307,-134,-670.00
308,-133,-665.00
309,-188,-940.00
310,-17,-85.00
311,-18,-90.00
312,-16,-80.00
313,-14,-70.00
314,-14,-70.00
315,-13,-65.00
316,-14,-70.00
317,-14,-70.00
318,-12,-60.00
319,-16,-80.00
320,-17,-85.00
321,-14,-70.00
322,-14,-70.00
323,-194,-970.00
325,-22,-110.00
326,-20,-100.00
327,-18,-90.00
328,-16,-80.00
329,-185,-925.00
330,-185,-925.00
332,-16,-80.00
333,-18,-90.00
334,-19,-95.00
335,-18,-90.00
336,-20,-100.00
337,-18,-90.00
338,-14,-70.00
342,-11,-55.00
344,-12,-60.00
345,-16,-80.00
346,-13,-65.00
349,-14,-70.00
351,-18,-90.00
352,-19,-95.00
353,-21,-105.00
354,-21,-105.00
355,-16,-80.00
356,-15,-75.00
357,-11,-55.00
425,-11,-55.00
426,-19,-95.00
440,-16,-80.00
442,-11,-55.00
449,-15,-75.00
450,-15,-75.00
460,-12,-60.00
461,-15,-75.00
462,-14,-70.00
463,-11,-55.00
467,-15,-75.00
468,-12,-60.00
471,-17,-85.00
485,-14,-70.00
496,-14,-70.00
497,-14,-70.00
498,-11,-55.00
499,-12,-60.00
567,-13,-65.00
585,-16,-80.00
586,-14,-70.00
587,-16,-80.00
588,-14,-70.00
589,-14,-70.00
590,-13,-65.00
591,-16,-80.00
593,-12,-60.00
594,-12,-60.00
595,-12,-60.00
596,-13,-65.00
606,-15,-75.00
607,-11,-55.00
608,-14,-70.00
641,-21,-105.00
642,-17,-85.00
643,-16,-80.00
644,-18,-90.00
645,-16,-80.00
710,-16,-80.00
711,-21,-105.00
712,-22,-110.00
717,-11,-55.00
718,-14,-70.00
719,-13,-65.00
745,-13,-65.00
746,-12,-60.00
747,-12,-60.00
748,-14,-70.00
749,-15,-75.00
750,-14,-70.00
751,-18,-90.00
752,-16,-80.00
753,-14,-70.00
754,-12,-60.00
755,-11,-55.00
803,-11,-55.00
804,-14,-70.00
805,-12,-60.00
806,-14,-70.00
809,187,935.00
815,-11,-55.00
820,-11,-55.00
821,-11,-55.00
822,-11,-55.00
823,-14,-70.00
824,-13,-65.00
825,-13,-65.00
826,-16,-80.00
827,-14,-70.00
828,-16,-80.00
829,-17,-85.00
830,-13,-65.00
839,-11,-55.00
840,-11,-55.00
841,-14,-70.00
842,-11,-55.00
844,-12,-60.00
847,-14,-70.00
848,-16,-80.00
849,-20,-100.00
850,-16,-80.00
858,-15,-75.00
859,-14,-70.00
860,-14,-70.00
906,-172,-860.00
911,164,820.00
939,15,75.00
946,-14,-70.00
948,-17,-85.00
949,-11,-55.00
955,-178,-890.00
958,-12,-60.00
961,-14,-70.00
962,-11,-55.00
963,-15,-75.00
967,-11,-55.00
968,-17,-85.00
969,-12,-60.00
970,-13,-65.00
972,-12,-60.00
973,-16,-80.00
974,-13,-65.00
976,175,875.00
977,-14,-70.00
978,-14,-70.00
983,-14,-70.00
984,-14,-70.00
987,-177,-885.00
1001,-12,-60.00
1010,-13,-65.00
1011,-15,-75.00
1012,-18,-90.00
1013,-14,-70.00
1016,-12,-60.00
1017,-15,-75.00
1018,-14,-70.00
1019,-12,-60.00
1020,176,880.00
1021,-16,-80.00
1022,-14,-70.00
1023,-16,-80.00
1025,-13,-65.00
1028,-13,-65.00
1029,-13,-65.00
1030,-14,-70.00
1031,-13,-65.00
1032,-12,-60.00
1033,-14,-70.00
1034,-12,-60.00
1038,-11,-55.00
1043,-11,-55.00
1050,195,975.00
1051,184,920.00
1052,-18,-90.00
1053,-19,-95.00
1054,-20,-100.00
1055,-16,-80.00
1056,-15,-75.00
1057,-14,-70.00
1058,-12,-60.00
1059,-13,-65.00
1060,-13,-65.00
1061,-13,-65.00
1062,-14,-70.00
1063,-16,-80.00
1064,-15,-75.00
1065,-13,-65.00
1066,-13,-65.00
1067,-15,-75.00
1068,-11,-55.00
1069,-192,-960.00
1084,-12,-60.00
1089,-17,-85.00
1090,-11,-55.00
1126,195,975.00
1151,-11,-55.00
1152,-15,-75.00
1153,-13,-65.00
1154,-13,-65.00
1155,-14,-70.00
1156,-15,-75.00
1157,-12,-60.00
1171,196,980.00
1175,-189,-945.00
1180,-11,-55.00
1181,-16,-80.00
1182,-14,-70.00
1184,-14,-70.00
1192,176,880.00
1193,-11,-55.00
1194,-12,-60.00
1195,-12,-60.00
1196,-12,-60.00
1212,-15,-75.00
1213,-16,-80.00
1214,-18,-90.00
1215,-12,-60.00
1218,-12,-60.00
1219,-12,-60.00
1220,-13,-65.00
1221,-16,-80.00
1222,-11,-55.00
1225,-11,-55.00
1235,189,945.00
1236,-12,-60.00
1237,-14,-70.00
1241,-11,-55.00
1242,-14,-70.00
1243,-14,-70.00
1255,-11,-55.00
1262,192,960.00
1263,188,940.00
1285,-12,-60.00
1286,-15,-75.00
1287,-18,-90.00
1299,-13,-65.00
1300,-13,-65.00
1301,-12,-60.00
1302,-11,-55.00
1303,191,955.00
1304,184,920.00
1305,-18,-90.00
1306,-14,-70.00
1309,-13,-65.00
1310,-16,-80.00
1311,-12,-60.00
1326,-11,-55.00
1331,181,905.00
1335,185,925.00
1355,183,915.00
1358,-17,-85.00
1359,-11,-55.00
1367,191,955.00
1380,-11,-55.00
1387,187,935.00
1400,-14,-70.00
1401,-11,-55.00
1405,-14,-70.00
1406,-13,-65.00
1410,-12,-60.00
1418,189,945.00
1421,-19,-95.00
1422,-18,-90.00
1423,187,935.00
1424,-18,-90.00
1425,-17,-85.00
1426,-15,-75.00
1436,-15,-75.00
1437,-15,-75.00
1452,-11,-55.00
1453,-15,-75.00
1454,-12,-60.00
1455,-15,-75.00
1484,-11,-55.00
1485,-13,-65.00
1487,187,935.00
1489,-14,-70.00
1492,185,925.00
1494,-19,-95.00
1495,-16,-80.00
1496,-176,-880.00
1509,11,55.00
1525,12,60.00
1543,-176,-880.00
1549,-177,-885.00
1596,-179,-895.00
1623,-147,-735.00
1687,143,715.00
1711,-11,-55.00
1715,-12,-60.00
1724,-151,-755.00
1751,136,680.00
1759,-151,-755.00
1760,-155,-775.00
1767,138,690.00
1793,-148,-740.00
1794,-150,-750.00
1798,-140,-700.00
1804,-150,-750.00
1819,-150,-750.00
1828,-154,-770.00
1848,-152,-760.00
1876,-154,-770.00
1902,-152,-760.00
1926,-147,-735.00
1927,-150,-750.00
1932,-150,-750.00
1943,-155,-775.00
1949,-156,-780.00
1984,-152,-760.00
1999,-145,-725.00
2038,-148,-740.00
2056,-149,-745.00
2068,-146,-730.00
2069,-145,-725.00
2072,-145,-725.00
2077,-152,-760.00
2109,-155,-775.00
2126,-155,-775.00
2129,-148,-740.00
2159,80,400.00
2160,81,405.00
2161,79,395.00
2162,-50,-250.00
2163,-16,-80.00
2164,-153,-765.00
2165,200,1000.00
2166,-163,-815.00
2167,30,150.00
2168,30,150.00
2394,200,1000.00
2583,-12,-60.00
2584,-12,-60.00
2585,-11,-55.00
2712,-11,-55.00
2795,-176,-880.00
2804,-174,-870.00
2828,-179,-895.00
2862,-11,-55.00
2874,-11,-55.00
2875,-12,-60.00
2876,-13,-65.00
