beat_index,r_gt,r_pred,valid_flag,drop_reason,rr_gt_ms,rr_pred_ms,rr_err_ms,qrs_gt_ms,qrs_pred_ms,qt_gt_ms,qt_pred_ms,qrs_err_ms,qt_err_ms,subject_id,seg_id
0,269,252,1,,975.0,975.0,0.0,,,,,,,25,0
1,464,447,1,,935.0,1045.0,110.0,,,,,,,25,0
2,651,656,1,,2710.0,2805.0,95.0,,,,,,,25,0
0,264,248,1,,935.0,1040.0,105.0,,,,,,,25,1
1,451,456,1,,2710.0,2805.0,95.0,,,,,,,25,1
0,1309,1333,1,,975.0,770.0,205.0,,,,,,,25,3
0,193,217,1,,3580.0,3580.0,0.0,,,,,,,25,5
1,909,933,1,,975.0,770.0,205.0,,,,,,,25,5
2,1104,1087,1,,1925.0,2130.0,205.0,,,,,,,25,5
0,709,733,1,,975.0,770.0,205.0,,,,,,,25,6
1,904,887,1,,1925.0,2130.0,205.0,,,,,,,25,6
2,1289,1313,1,,900.0,900.0,0.0,,,,,,,25,6
0,704,687,1,,1925.0,2130.0,205.0,,,,,,,25,7
1,1089,1113,1,,900.0,900.0,0.0,,,,,,,25,7
0,504,489,1,,975.0,1180.0,205.0,,,,,,,25,8
0,304,287,1,,1925.0,2130.0,205.0,,,,,,,25,9
0,104,87,1,,1925.0,2130.0,205.0,,,,,,,25,10
1,489,513,1,,5275.0,5280.0,5.0,,,,,,,25,10
0,239,265,1,,1780.0,1780.0,0.0,,,,,,,25,13
1,595,621,1,,3580.0,3580.0,0.0,,,,,,,25,13
0,1111,1137,1,,950.0,940.0,10.0,,,,,,,25,14
0,144,169,1,,1835.0,1840.0,5.0,,,,,,,25,17
1,511,537,1,,950.0,940.0,10.0,,,,,,,25,17
0,311,337,1,,3645.0,3640.0,5.0,,,,,,,25,18
1,1040,1065,1,,900.0,900.0,0.0,,,,,,,25,18
0,111,137,1,,950.0,940.0,10.0,,,,,,,25,19
0,440,465,1,,900.0,900.0,0.0,,,,,,,25,21
1,620,645,1,,1700.0,1700.0,0.0,,,,,,,25,21
0,220,249,1,,6065.0,5805.0,260.0,,,,,,,25,23
0,490,517,1,,880.0,880.0,0.0,,,,,,,25,25
1,666,693,1,,1835.0,1840.0,5.0,,,,,,,25,25
0,466,486,1,,1835.0,1875.0,40.0,,,,,,,25,26
0,90,117,1,,880.0,880.0,0.0,,,,,,,25,27
1,266,293,1,,1835.0,1840.0,5.0,,,,,,,25,27
2,633,661,1,,2710.0,2665.0,45.0,,,,,,,25,27
0,66,93,1,,920.0,920.0,0.0,,,,,,,25,28
1,250,277,1,,915.0,920.0,5.0,,,,,,,25,28
2,433,461,1,,2710.0,2665.0,45.0,,,,,,,25,28
3,975,994,1,,900.0,730.0,170.0,,,,,,,25,28
0,233,261,1,,2710.0,2665.0,45.0,,,,,,,25,29
0,212,237,1,,1815.0,1820.0,5.0,,,,,,,25,30
1,575,601,1,,900.0,900.0,0.0,,,,,,,25,30
2,755,781,1,,880.0,880.0,0.0,,,,,,,25,30
3,931,957,1,,1760.0,1760.0,0.0,,,,,,,25,30
0,192,217,1,,5365.0,5360.0,5.0,,,,,,,25,31
0,175,201,1,,900.0,900.0,0.0,,,,,,,25,32
1,355,381,1,,880.0,880.0,0.0,,,,,,,25,32
2,531,557,1,,1760.0,1760.0,0.0,,,,,,,25,32
3,883,909,1,,2820.0,2820.0,0.0,,,,,,,25,32
0,131,157,1,,1760.0,1760.0,0.0,,,,,,,25,34
1,483,509,1,,2820.0,2820.0,0.0,,,,,,,25,34
2,1047,1073,1,,950.0,960.0,10.0,,,,,,,25,34
0,283,309,1,,2820.0,2820.0,0.0,,,,,,,25,35
1,847,873,1,,2845.0,2840.0,5.0,,,,,,,25,35
0,647,673,1,,950.0,960.0,10.0,,,,,,,25,36
1,837,865,1,,2845.0,2635.0,210.0,,,,,,,25,36
0,447,473,1,,950.0,960.0,10.0,,,,,,,25,37
1,637,665,1,,2845.0,2635.0,210.0,,,,,,,25,37
2,1206,1192,1,,915.0,1125.0,210.0,,,,,,,25,37
0,247,273,1,,950.0,960.0,10.0,,,,,,,25,38
1,437,465,1,,1895.0,1880.0,15.0,,,,,,,25,38
2,816,841,1,,950.0,750.0,200.0,,,,,,,25,38
3,1006,991,1,,2685.0,2890.0,205.0,,,,,,,25,38
0,237,265,1,,1895.0,1880.0,15.0,,,,,,,25,39
1,616,641,1,,950.0,960.0,10.0,,,,,,,25,39
0,416,441,1,,950.0,960.0,10.0,,,,,,,25,40
0,216,241,1,,950.0,750.0,200.0,,,,,,,25,41
0,389,373,1,,3595.0,3800.0,205.0,,,,,,,25,42
1,1108,1133,1,,920.0,655.0,265.0,,,,,,,25,42
0,189,173,1,,3595.0,3800.0,205.0,,,,,,,25,43
1,908,933,1,,920.0,655.0,265.0,,,,,,,25,43
0,143,169,1,,895.0,900.0,5.0,,,,,,,25,45
1,322,349,1,,930.0,685.0,245.0,,,,,,,25,45
2,508,486,1,,920.0,920.0,0.0,,,,,,,25,45
3,692,670,1,,1790.0,2035.0,245.0,,,,,,,25,45
4,1050,1077,1,,925.0,920.0,5.0,,,,,,,25,45
5,1235,1261,1,,935.0,940.0,5.0,,,,,,,25,45
0,308,313,1,,920.0,755.0,165.0,,,,,,,25,46
1,492,464,1,,4580.0,4630.0,50.0,,,,,,,25,46
0,108,114,1,,1815.0,1915.0,100.0,,,,,,,25,47
1,471,497,1,,1820.0,1820.0,0.0,,,,,,,25,47
2,835,861,1,,1865.0,1650.0,215.0,,,,,,,25,47
3,1208,1191,1,,1730.0,1740.0,10.0,,,,,,,25,47
0,271,297,1,,1820.0,1820.0,0.0,,,,,,,25,48
1,635,661,1,,1865.0,1650.0,215.0,,,,,,,25,48
0,808,791,1,,885.0,1090.0,205.0,,,,,,,25,49
0,235,261,1,,1865.0,1650.0,215.0,,,,,,,25,50
1,608,591,1,,1730.0,1685.0,45.0,,,,,,,25,50
2,954,928,1,,2635.0,2905.0,270.0,,,,,,,25,50
0,408,391,1,,1730.0,1685.0,45.0,,,,,,,25,51
0,208,191,1,,1730.0,1685.0,45.0,,,,,,,25,52
1,554,528,1,,2635.0,2885.0,250.0,,,,,,,25,52
2,1081,1105,1,,1915.0,1850.0,65.0,,,,,,,25,52
0,185,209,1,,3480.0,3270.0,210.0,,,,,,,25,53
1,881,863,1,,1915.0,2060.0,145.0,,,,,,,25,53
2,1264,1275,1,,940.0,775.0,165.0,,,,,,,25,53
0,1064,1089,1,,940.0,735.0,205.0,,,,,,,25,54
0,481,505,1,,1915.0,1865.0,50.0,,,,,,,25,55
1,864,878,1,,940.0,790.0,150.0,,,,,,,25,55
2,1052,1036,1,,1815.0,2025.0,210.0,,,,,,,25,55
0,664,689,1,,940.0,705.0,235.0,,,,,,,25,56
1,852,830,1,,1815.0,2055.0,240.0,,,,,,,25,56
0,81,105,1,,1915.0,1865.0,50.0,,,,,,,25,57
1,464,478,1,,940.0,785.0,155.0,,,,,,,25,57
2,652,635,1,,1815.0,2030.0,215.0,,,,,,,25,57
3,1015,1041,1,,1805.0,1800.0,5.0,,,,,,,25,57
4,1376,1401,1,,930.0,905.0,25.0,,,,,,,25,57
0,264,289,1,,940.0,705.0,235.0,,,,,,,25,58
1,452,430,1,,1815.0,2055.0,240.0,,,,,,,25,58
2,815,841,1,,1805.0,1800.0,5.0,,,,,,,25,58
3,1176,1201,1,,1860.0,1825.0,35.0,,,,,,,25,58
0,64,89,1,,940.0,705.0,235.0,,,,,,,25,59
1,252,230,1,,1815.0,2055.0,240.0,,,,,,,25,59
2,615,641,1,,1805.0,1800.0,5.0,,,,,,,25,59
3,976,1001,1,,1860.0,1860.0,0.0,,,,,,,25,59
0,415,441,1,,1805.0,1800.0,5.0,,,,,,,25,60
1,776,801,1,,1860.0,1860.0,0.0,,,,,,,25,60
2,1148,1173,1,,900.0,695.0,205.0,,,,,,,25,60
0,215,241,1,,1805.0,1800.0,5.0,,,,,,,25,61
1,576,601,1,,1860.0,1860.0,0.0,,,,,,,25,61
2,948,973,1,,900.0,695.0,205.0,,,,,,,25,61
3,1128,1112,1,,880.0,1105.0,225.0,,,,,,,25,61
0,376,401,1,,2760.0,2555.0,205.0,,,,,,,25,62
1,928,912,1,,880.0,1105.0,225.0,,,,,,,25,62
0,362,389,1,,930.0,715.0,215.0,,,,,,,25,63
1,548,532,1,,900.0,910.0,10.0,,,,,,,25,63
2,728,714,1,,880.0,1095.0,215.0,,,,,,,25,63
3,904,933,1,,1710.0,1700.0,10.0,,,,,,,25,63
0,348,330,1,,900.0,910.0,10.0,,,,,,,25,64
0,328,315,1,,880.0,1090.0,210.0,,,,,,,25,65
1,504,533,1,,2545.0,2540.0,5.0,,,,,,,25,65
2,1013,1041,1,,2585.0,2315.0,270.0,,,,,,,25,65
0,128,112,1,,880.0,1105.0,225.0,,,,,,,25,66
0,75,101,1,,2545.0,2540.0,5.0,,,,,,,25,68
1,584,609,1,,865.0,860.0,5.0,,,,,,,25,68
2,757,781,1,,865.0,595.0,270.0,,,,,,,25,68
0,384,409,1,,865.0,860.0,5.0,,,,,,,25,69
1,557,581,1,,865.0,595.0,270.0,,,,,,,25,69
2,730,700,1,,3475.0,3745.0,270.0,,,,,,,25,69
0,184,209,1,,865.0,860.0,5.0,,,,,,,25,70
1,357,381,1,,865.0,595.0,270.0,,,,,,,25,70
0,157,181,1,,865.0,595.0,270.0,,,,,,,25,71
1,330,300,1,,3475.0,3745.0,270.0,,,,,,,25,71
2,1025,1049,1,,2675.0,2680.0,5.0,,,,,,,25,71
0,625,649,1,,4415.0,4420.0,5.0,,,,,,,25,73
0,425,449,1,,2675.0,2680.0,5.0,,,,,,,25,74
1,960,985,1,,1740.0,1740.0,0.0,,,,,,,25,74
2,1308,1333,1,,845.0,740.0,105.0,,,,,,,25,74
0,936,961,1,,860.0,850.0,10.0,,,,,,,25,75
0,736,761,1,,860.0,850.0,10.0,,,,,,,25,76
0,536,561,1,,860.0,850.0,10.0,,,,,,,25,77
0,308,337,1,,5210.0,4995.0,215.0,,,,,,,25,79
0,108,137,1,,4320.0,4320.0,0.0,,,,,,,25,80
1,972,1001,1,,890.0,675.0,215.0,,,,,,,25,80
2,1150,1136,1,,1755.0,1965.0,210.0,,,,,,,25,80
0,77,105,1,,4365.0,4155.0,210.0,,,,,,,25,81
1,950,936,1,,2625.0,2825.0,200.0,,,,,,,25,81
0,750,736,1,,2625.0,2825.0,200.0,,,,,,,25,82
0,550,536,1,,2625.0,2825.0,200.0,,,,,,,25,83
0,350,336,1,,2625.0,2590.0,35.0,,,,,,,25,84
1,875,854,1,,1705.0,1955.0,250.0,,,,,,,25,84
0,150,134,1,,2625.0,2835.0,210.0,,,,,,,25,85
1,675,701,1,,860.0,860.0,0.0,,,,,,,25,85
0,475,501,1,,3420.0,3420.0,0.0,,,,,,,25,86
1,1159,1185,1,,880.0,635.0,245.0,,,,,,,25,86
0,275,301,1,,860.0,860.0,0.0,,,,,,,25,87
1,447,473,1,,3440.0,3440.0,0.0,,,,,,,25,87
2,1135,1161,1,,895.0,900.0,5.0,,,,,,,25,87
0,75,101,1,,860.0,860.0,0.0,,,,,,,25,88
1,247,273,1,,3440.0,3440.0,0.0,,,,,,,25,88
2,935,961,1,,895.0,900.0,5.0,,,,,,,25,88
0,735,761,1,,895.0,900.0,5.0,,,,,,,25,89
0,535,561,1,,895.0,900.0,5.0,,,,,,,25,90
1,714,741,1,,3560.0,3295.0,265.0,,,,,,,25,90
0,335,361,1,,895.0,900.0,5.0,,,,,,,25,91
0,135,122,1,,895.0,1095.0,200.0,,,,,,,25,92
1,314,341,1,,2665.0,2660.0,5.0,,,,,,,25,92
2,847,873,1,,895.0,685.0,210.0,,,,,,,25,92
3,1026,1010,1,,900.0,850.0,50.0,,,,,,,25,92
4,1206,1180,1,,890.0,910.0,20.0,,,,,,,25,92
0,114,141,1,,3560.0,3295.0,265.0,,,,,,,25,93
1,826,800,1,,1790.0,1840.0,50.0,,,,,,,25,93
0,447,473,1,,895.0,655.0,240.0,,,,,,,25,94
1,626,604,1,,900.0,880.0,20.0,,,,,,,25,94
2,806,780,1,,890.0,910.0,20.0,,,,,,,25,94
3,984,962,1,,870.0,1115.0,245.0,,,,,,,25,94
