beat_index,r_gt,r_pred,valid_flag,drop_reason,rr_gt_ms,rr_pred_ms,rr_err_ms,qrs_gt_ms,qrs_pred_ms,qt_gt_ms,qt_pred_ms,qrs_err_ms,qt_err_ms,subject_id,seg_id
0,464,482,1,,3645.0,3645.0,0.0,,,,,,,25,0
0,264,282,1,,3645.0,3645.0,0.0,,,,,,,25,1
1,993,1011,1,,840.0,895.0,55.0,,,,,,,25,1
0,64,82,1,,4485.0,4335.0,150.0,,,,,,,25,2
0,593,611,1,,840.0,690.0,150.0,,,,,,,25,3
1,761,749,1,,3715.0,3890.0,175.0,,,,,,,25,3
0,561,547,1,,3715.0,3880.0,165.0,,,,,,,25,4
0,193,210,1,,4555.0,4560.0,5.0,,,,,,,25,5
1,1104,1122,1,,1925.0,1920.0,5.0,,,,,,,25,5
0,161,147,1,,3715.0,3875.0,160.0,,,,,,,25,6
1,904,922,1,,1925.0,1920.0,5.0,,,,,,,25,6
2,1289,1306,1,,900.0,905.0,5.0,,,,,,,25,6
0,704,723,1,,1925.0,1915.0,10.0,,,,,,,25,7
1,1089,1106,1,,900.0,910.0,10.0,,,,,,,25,7
0,304,323,1,,1925.0,1915.0,10.0,,,,,,,25,9
1,689,706,1,,900.0,910.0,10.0,,,,,,,25,9
2,869,888,1,,2630.0,2570.0,60.0,,,,,,,25,9
0,104,123,1,,1925.0,1915.0,10.0,,,,,,,25,10
1,489,506,1,,900.0,910.0,10.0,,,,,,,25,10
2,669,688,1,,2630.0,2570.0,60.0,,,,,,,25,10
3,1195,1202,1,,1745.0,1825.0,80.0,,,,,,,25,10
0,289,306,1,,3530.0,3480.0,50.0,,,,,,,25,11
0,89,106,1,,3530.0,3480.0,50.0,,,,,,,25,12
1,795,802,1,,2645.0,2650.0,5.0,,,,,,,25,12
2,1324,1332,1,,935.0,1015.0,80.0,,,,,,,25,12
0,595,602,1,,2645.0,2650.0,5.0,,,,,,,25,13
1,1124,1132,1,,935.0,990.0,55.0,,,,,,,25,13
2,1311,1330,1,,950.0,1000.0,50.0,,,,,,,25,13
0,395,402,1,,2645.0,2650.0,5.0,,,,,,,25,14
1,924,932,1,,935.0,990.0,55.0,,,,,,,25,14
2,1111,1130,1,,950.0,950.0,0.0,,,,,,,25,14
0,195,200,1,,2645.0,2650.0,5.0,,,,,,,25,15
1,724,730,1,,1885.0,1945.0,60.0,,,,,,,25,15
2,1101,1119,1,,1800.0,1735.0,65.0,,,,,,,25,15
0,524,530,1,,1885.0,1945.0,60.0,,,,,,,25,16
0,324,332,1,,935.0,990.0,55.0,,,,,,,25,17
1,511,530,1,,950.0,950.0,0.0,,,,,,,25,17
2,701,720,1,,3595.0,3590.0,5.0,,,,,,,25,17
0,124,132,1,,935.0,990.0,55.0,,,,,,,25,18
1,311,330,1,,950.0,950.0,0.0,,,,,,,25,18
2,501,520,1,,2695.0,2695.0,0.0,,,,,,,25,18
3,1040,1059,1,,900.0,895.0,5.0,,,,,,,25,18
0,111,130,1,,950.0,950.0,0.0,,,,,,,25,19
1,301,320,1,,2695.0,2695.0,0.0,,,,,,,25,19
2,840,859,1,,900.0,895.0,5.0,,,,,,,25,19
0,101,120,1,,2695.0,2695.0,0.0,,,,,,,25,20
1,640,659,1,,900.0,895.0,5.0,,,,,,,25,20
0,440,459,1,,900.0,895.0,5.0,,,,,,,25,21
1,620,638,1,,1700.0,1705.0,5.0,,,,,,,25,21
2,960,979,1,,2530.0,2485.0,45.0,,,,,,,25,21
0,420,440,1,,2515.0,2510.0,5.0,,,,,,,25,22
0,220,240,1,,6065.0,6070.0,5.0,,,,,,,25,23
0,523,542,1,,3550.0,3560.0,10.0,,,,,,,25,24
0,666,676,1,,1835.0,1890.0,55.0,,,,,,,25,25
0,466,487,1,,1835.0,1840.0,5.0,,,,,,,25,26
0,266,286,1,,1835.0,1840.0,5.0,,,,,,,25,27
1,633,654,1,,2710.0,2705.0,5.0,,,,,,,25,27
0,66,86,1,,1835.0,1840.0,5.0,,,,,,,25,28
1,433,454,1,,2710.0,2705.0,5.0,,,,,,,25,28
0,233,254,1,,2710.0,2705.0,5.0,,,,,,,25,29
0,392,400,1,,915.0,970.0,55.0,,,,,,,25,30
1,575,594,1,,900.0,905.0,5.0,,,,,,,25,30
0,175,194,1,,900.0,905.0,5.0,,,,,,,25,32
0,837,858,1,,945.0,940.0,5.0,,,,,,,25,36
0,637,658,1,,945.0,940.0,5.0,,,,,,,25,37
0,143,152,1,,5460.0,5515.0,55.0,,,,,,,25,45
1,1235,1255,1,,935.0,935.0,0.0,,,,,,,25,45
0,122,128,1,,1850.0,1915.0,65.0,,,,,,,25,46
1,492,511,1,,4580.0,4580.0,0.0,,,,,,,25,46
0,292,312,1,,2715.0,2710.0,5.0,,,,,,,25,47
1,835,854,1,,935.0,940.0,5.0,,,,,,,25,47
2,1022,1042,1,,930.0,930.0,0.0,,,,,,,25,47
0,92,112,1,,2715.0,2710.0,5.0,,,,,,,25,48
1,635,654,1,,1865.0,1870.0,5.0,,,,,,,25,48
0,235,254,1,,1865.0,1870.0,5.0,,,,,,,25,50
1,608,628,1,,3455.0,3390.0,65.0,,,,,,,25,50
2,1299,1306,1,,910.0,910.0,0.0,,,,,,,25,50
0,408,420,1,,3455.0,3490.0,35.0,,,,,,,25,51
1,1099,1118,1,,910.0,850.0,60.0,,,,,,,25,51
0,208,228,1,,3455.0,3400.0,55.0,,,,,,,25,52
1,899,908,1,,910.0,900.0,10.0,,,,,,,25,52
0,699,708,1,,910.0,895.0,15.0,,,,,,,25,53
1,881,887,1,,1915.0,1925.0,10.0,,,,,,,25,53
2,1264,1272,1,,940.0,995.0,55.0,,,,,,,25,53
0,499,518,1,,910.0,850.0,60.0,,,,,,,25,54
0,299,308,1,,910.0,900.0,10.0,,,,,,,25,55
0,99,108,1,,910.0,900.0,10.0,,,,,,,25,56
0,1362,1382,1,,930.0,925.0,5.0,,,,,,,25,58
0,1162,1182,1,,930.0,925.0,5.0,,,,,,,25,59
0,962,982,1,,930.0,925.0,5.0,,,,,,,25,60
1,1148,1167,1,,900.0,845.0,55.0,,,,,,,25,60
2,1328,1336,1,,880.0,965.0,85.0,,,,,,,25,60
0,762,782,1,,930.0,925.0,5.0,,,,,,,25,61
1,948,967,1,,900.0,845.0,55.0,,,,,,,25,61
0,562,582,1,,930.0,925.0,5.0,,,,,,,25,62
1,748,767,1,,900.0,845.0,55.0,,,,,,,25,62
0,362,383,1,,4420.0,4420.0,0.0,,,,,,,25,63
0,162,182,1,,930.0,925.0,5.0,,,,,,,25,64
1,348,367,1,,900.0,845.0,55.0,,,,,,,25,64
0,328,350,1,,880.0,880.0,0.0,,,,,,,25,65
1,504,526,1,,1710.0,1705.0,5.0,,,,,,,25,65
2,846,867,1,,835.0,840.0,5.0,,,,,,,25,65
0,625,630,1,,4415.0,4480.0,65.0,,,,,,,25,73
0,425,432,1,,4415.0,4475.0,60.0,,,,,,,25,74
0,225,232,1,,3555.0,3560.0,5.0,,,,,,,25,75
1,936,944,1,,860.0,880.0,20.0,,,,,,,25,75
0,736,744,1,,860.0,880.0,20.0,,,,,,,25,76
0,536,544,1,,860.0,880.0,20.0,,,,,,,25,77
1,708,720,1,,3425.0,3400.0,25.0,,,,,,,25,77
0,308,330,1,,1700.0,1705.0,5.0,,,,,,,25,79
1,648,671,1,,1725.0,1665.0,60.0,,,,,,,25,79
2,993,1004,1,,1785.0,1835.0,50.0,,,,,,,25,79
0,108,130,1,,1700.0,1705.0,5.0,,,,,,,25,80
1,448,471,1,,3510.0,3500.0,10.0,,,,,,,25,80
2,1150,1171,1,,870.0,815.0,55.0,,,,,,,25,80
3,1324,1334,1,,885.0,880.0,5.0,,,,,,,25,80
0,950,971,1,,870.0,815.0,55.0,,,,,,,25,81
1,1124,1134,1,,885.0,880.0,5.0,,,,,,,25,81
0,750,771,1,,870.0,815.0,55.0,,,,,,,25,82
1,924,934,1,,885.0,880.0,5.0,,,,,,,25,82
0,550,571,1,,870.0,815.0,55.0,,,,,,,25,83
1,724,734,1,,885.0,880.0,5.0,,,,,,,25,83
0,350,371,1,,870.0,815.0,55.0,,,,,,,25,84
1,524,534,1,,3460.0,3525.0,65.0,,,,,,,25,84
0,324,332,1,,1755.0,1760.0,5.0,,,,,,,25,85
0,124,134,1,,885.0,880.0,5.0,,,,,,,25,86
1,301,310,1,,4290.0,4345.0,55.0,,,,,,,25,86
2,1159,1179,1,,880.0,825.0,55.0,,,,,,,25,86
0,275,283,1,,3420.0,3475.0,55.0,,,,,,,25,87
1,959,978,1,,880.0,830.0,50.0,,,,,,,25,87
0,75,83,1,,3420.0,3475.0,55.0,,,,,,,25,88
1,759,778,1,,880.0,825.0,55.0,,,,,,,25,88
0,559,568,1,,880.0,880.0,0.0,,,,,,,25,89
0,359,368,1,,880.0,880.0,0.0,,,,,,,25,90
0,159,168,1,,880.0,875.0,5.0,,,,,,,25,91
0,135,144,1,,895.0,955.0,60.0,,,,,,,25,92
1,314,335,1,,2665.0,2625.0,40.0,,,,,,,25,92
2,847,860,1,,895.0,875.0,20.0,,,,,,,25,92
3,1026,1035,1,,900.0,960.0,60.0,,,,,,,25,92
4,1206,1227,1,,890.0,895.0,5.0,,,,,,,25,92
0,626,636,1,,900.0,955.0,55.0,,,,,,,25,94
1,806,827,1,,890.0,900.0,10.0,,,,,,,25,94
2,984,1007,1,,1735.0,1720.0,15.0,,,,,,,25,94
0,426,436,1,,900.0,955.0,55.0,,,,,,,25,95
1,606,627,1,,890.0,900.0,10.0,,,,,,,25,95
2,784,807,1,,1735.0,1720.0,15.0,,,,,,,25,95
0,226,235,1,,900.0,960.0,60.0,,,,,,,25,96
1,406,427,1,,890.0,900.0,10.0,,,,,,,25,96
2,584,607,1,,1735.0,1720.0,15.0,,,,,,,25,96
0,206,227,1,,890.0,900.0,10.0,,,,,,,25,97
1,384,407,1,,1735.0,1720.0,15.0,,,,,,,25,97
0,531,551,1,,2660.0,2605.0,55.0,,,,,,,25,98
1,1063,1072,1,,925.0,975.0,50.0,,,,,,,25,98
0,331,351,1,,4490.0,4495.0,5.0,,,,,,,25,99
1,1229,1250,1,,900.0,840.0,60.0,,,,,,,25,99
0,131,151,1,,2660.0,2605.0,55.0,,,,,,,25,100
1,663,672,1,,925.0,975.0,50.0,,,,,,,25,100
2,848,867,1,,1805.0,1745.0,60.0,,,,,,,25,100
0,282,288,1,,905.0,910.0,5.0,,,,,,,25,101
1,463,470,1,,2730.0,2720.0,10.0,,,,,,,25,101
0,263,270,1,,2730.0,2720.0,10.0,,,,,,,25,102
0,409,414,1,,5400.0,5460.0,60.0,,,,,,,25,104
0,209,214,1,,5400.0,5460.0,60.0,,,,,,,25,105
0,1246,1266,1,,850.0,845.0,5.0,,,,,,,25,108
0,1046,1066,1,,850.0,845.0,5.0,,,,,,,25,109
0,846,866,1,,850.0,845.0,5.0,,,,,,,25,110
0,646,666,1,,850.0,845.0,5.0,,,,,,,25,111
0,446,466,1,,850.0,845.0,5.0,,,,,,,25,112
0,87,107,1,,5440.0,5435.0,5.0,,,,,,,25,120
0,418,426,1,,905.0,910.0,5.0,,,,,,,25,122
1,599,608,1,,880.0,930.0,50.0,,,,,,,25,122
0,218,226,1,,1785.0,1840.0,55.0,,,,,,,25,123
0,372,391,1,,5215.0,5155.0,60.0,,,,,,,25,127
0,172,191,1,,5215.0,5155.0,60.0,,,,,,,25,128
0,815,834,1,,2600.0,2600.0,0.0,,,,,,,25,130
1,1335,1354,1,,900.0,925.0,25.0,,,,,,,25,130
0,439,459,1,,880.0,880.0,0.0,,,,,,,25,131
1,615,635,1,,2600.0,2595.0,5.0,,,,,,,25,131
0,415,434,1,,2600.0,2600.0,0.0,,,,,,,25,132
1,935,954,1,,1805.0,1805.0,0.0,,,,,,,25,132
0,215,220,1,,1710.0,1775.0,65.0,,,,,,,25,133
0,535,554,1,,1805.0,1805.0,0.0,,,,,,,25,134
0,335,354,1,,1805.0,1805.0,0.0,,,,,,,25,135
1,696,715,1,,3565.0,3505.0,60.0,,,,,,,25,135
0,135,154,1,,2680.0,2705.0,25.0,,,,,,,25,136
1,671,695,1,,1780.0,1705.0,75.0,,,,,,,25,136
2,1027,1036,1,,910.0,905.0,5.0,,,,,,,25,136
0,471,495,1,,1780.0,1755.0,25.0,,,,,,,25,137
1,827,846,1,,910.0,855.0,55.0,,,,,,,25,137
2,1009,1017,1,,930.0,990.0,60.0,,,,,,,25,137
3,1195,1215,1,,915.0,915.0,0.0,,,,,,,25,137
0,271,295,1,,1780.0,1760.0,20.0,,,,,,,25,138
1,627,647,1,,910.0,850.0,60.0,,,,,,,25,138
2,809,817,1,,930.0,990.0,60.0,,,,,,,25,138
3,995,1015,1,,915.0,915.0,0.0,,,,,,,25,138
0,409,417,1,,1845.0,1905.0,60.0,,,,,,,25,140
0,209,217,1,,1845.0,1905.0,60.0,,,,,,,25,141
0,201,219,1,,2815.0,2815.0,0.0,,,,,,,25,156
0,819,839,1,,2815.0,2820.0,5.0,,,,,,,25,163
0,619,639,1,,2815.0,2820.0,5.0,,,,,,,25,164
1,1182,1203,1,,1845.0,1835.0,10.0,,,,,,,25,164
0,419,439,1,,1880.0,1880.0,0.0,,,,,,,25,165
1,795,815,1,,935.0,940.0,5.0,,,,,,,25,165
2,982,1003,1,,1845.0,1840.0,5.0,,,,,,,25,165
0,219,239,1,,1880.0,1880.0,0.0,,,,,,,25,166
